date,category,answer,clue,note
2026-09-08,Cocktails,NEGRONI,"Equal-parts Italian classic of gin, sweet vermouth, and Campari.",Invented in Florence circa 1919 when Count Camillo Negroni asked to stiffen his Americano with gin instead of soda.
2026-09-09,Bar Tools,HAWTHORNE STRAINER,Perforated metal bar tool fitted with a flexible wire coil.,The spring adapts to the shaker rim to hold back shaken ice and broken fruit pulp.
2026-09-10,Ingredients,ORGEAT,Almond syrup delicately scented with rose water or orange flower water.,A fundamental sweetener in tropical tiki drinks like the classic 1944 Mai Tai.
2026-09-11,Spirits,MEZCAL,Traditional Mexican spirit distilled from agave roasted in earthen pit ovens.,"Unlike tequila, it can be made from over thirty varieties of agave and carries a distinctive smoky profile."
2026-09-12,Glassware,COUPE,Stemmed shallow-bowled glass originally designed for champagne.,Widely favored in modern cocktail service for drinks served up without ice.
2026-09-13,Whisky,OLD FASHIONED,"Pioneering cocktail of whiskey, sugar, water, and aromatic bitters.","Derived from the earliest nineteenth-century definition of a cocktail as spirit, sugar, water, and bitters."
2026-09-14,Technique,DOUBLE STRAIN,Using a Hawthorne strainer together with a fine mesh tea strainer.,Removes tiny ice shards and citrus pulp to ensure a velvety smooth cocktail texture.
2026-09-15,Liqueurs,CHARTREUSE,French herbal liqueur crafted from 130 plants by Carthusian monks.,Only two monks at a time know the secret formula and botanicals behind its natural green or yellow hue.
2026-09-16,Gin,LONDON DRY,Style of gin redistilled with botanicals and containing zero added sugar post-distillation.,Must obtain all botanical flavor through distillation and carry a dominant juniper profile.
2026-09-17,Bitters,ANGOSTURA,Iconic aromatic bitters recognizable by an oversized paper label.,Created in 1824 in Venezuela by Dr. Johann Siegert as a medicinal tonic for stomach ailments.
2026-09-18,Rum,DAIQUIRI,"Minimalist Cuban sour made with white rum, fresh lime juice, and simple syrup.",Named after an iron mining town near Santiago de Cuba around the turn of the twentieth century.
2026-09-19,Methods,MUDDLE,Pressing herbs or fruit against the base of a glass to express oils and juice.,Bartenders press mint gently to release fragrant essential oils without extracting bitter chlorophyll.
2026-09-20,Ice,CLEAR ICE,Directionally frozen water free of trapped air bubbles and impurities.,"Freezing water from top to bottom forces minerals and air down, resulting in crystal-clear blocks."
2026-09-21,Agave,MARGARITA,"Refreshing staple combining blanco tequila, orange liqueur, and fresh lime.",Often served with a salted rim to suppress bitterness and accentuate sweet citrus notes.
2026-09-22,History,PROHIBITION,Constitutional ban on the production and sale of alcohol in the United States from 1920 to 1933.,Spurred the rise of illicit speakeasies and popularised American cocktail culture in European capitals.
2026-09-23,Citrus,EXPRESSED PEEL,Citrus skin gently folded over a glass to spritz aromatic oils over the surface.,The fine mist of limonene adds immediate aromatic brightness before the first sip is taken.
2026-09-24,Vermouth,SWEET VERMOUTH,Aromatized and fortified wine sweetened with caramelized sugar and botanical infusions.,"Historically known as Italian vermouth, it forms the backbone of the Manhattan, Negroni, and Boulevardier."
2026-09-25,Bar Tools,JIGGER,Hourglass-shaped dual-sided measuring vessel used by bartenders.,Named after the jigger-mast on sailing ships or nineteenth-century slang for a small portion of spirits.
2026-09-26,Amaro,CAMPARI,Brilliant crimson Italian bitter aperitivo infused with fruit and aromatic herbs.,Historically colored using carmine dye extracted from cochineal insects until synthetic color was adopted in 2006.
2026-09-27,Origins,PISCO SOUR,Grape brandy sour shaken with citrus and egg white originating in Peru.,Created in Lima during the 1920s at Morris' Bar by American expat Victor Morris.
2026-09-28,Brandy,SIDECAR,"Classic trio of cognac, orange liqueur, and freshly squeezed lemon juice.","Emerged in Paris or London around the end of World War I, often served with a sugar rim."
2026-09-29,Flavours,UMAMI,"Savory fifth taste imparted by ingredients like tomato juice, soy, or olive brine.",A cornerstone of savory drinks like the Bloody Mary and Dirty Martini.
2026-09-30,Glassware,NICK AND NORA,"Stemmed, bell-shaped cocktail glass named after fictional 1930s detective characters.",Named after Nick and Nora Charles from Dashiell Hammett's 'The Thin Man' novel and film series.
2026-10-01,Syrups,DEMERARA,Rich caramel-noted syrup made from unrefined raw cane sugar.,Its heavy molasses undertones make it ideal for dark rum cocktails and rye whiskey Old Fashioneds.
2026-10-02,Drink Families,SOUR,"Foundational cocktail structure combining spirit, citrus, and a sweetening agent.",Nearly all modern shaken classics descend from this fundamental three-part balance.
2026-10-03,Methods,SWIZZLE,Rapidly spinning a pronged wooden stick between palms to chill and dilute crushed ice.,Traditional swizzle sticks are harvested from the stems of the Caribbean Quararibea turbinata tree.
2026-10-04,Balance,DILUTION,The water introduced into a cocktail during shaking or stirring.,"Essential for opening aromatic compounds, softening alcohol heat, and bringing flavours into harmony."
2026-10-05,Technique,DRY SHAKE,Vigorously shaking a cocktail with egg white or aquafaba without ice.,"Emulsifies proteins at room temperature first to produce a rich, dense, meringue-like foam head."
2026-10-06,Bar Service,MISE EN PLACE,"Culinary principle of organizing all ingredients, garnishes, and tools before service.","A well-prepared station ensures speed, consistency, and poise during peak volume hours."
2026-10-07,Beer & Wine,CHAMPAGNE,Sparkling wine produced exclusively in northern France using the traditional method.,"A splash adds effervescence and acidity to drinks like the French 75, Seelbach, and Champagne Cocktail."
2026-10-08,Hospitality,FREE POUR,Pouring spirits directly from a bottle with a speed pourer without using a jigger.,"Relies on rhythmic mental counting to calibrate volume, often tested with water during training."
2026-10-09,Fun Facts,FERNET BRANCA,"Intensely herbal, menthol-heavy Italian amaro nicknamed the bartender's handshake.",San Francisco alone consumes a notable fraction of all United States imports of this bitter digestif.
2026-10-10,Spirits,ABSINTHE,Anise and wormwood spirit that turns cloudy when chilled water is added.,This milky clouding phenomenon is known scientifically as the ouzo effect or louche.
2026-10-11,Whisky,MANHATTAN,"Stirred classic of rye whiskey, sweet vermouth, and Angostura bitters.","Popularized in New York City during the 1870s, traditionally garnished with a brandied cherry."
2026-10-12,Bar Tools,BAR SPOON,Long-handled spiral tool used for stirring cocktails and layering liquids.,The twisted shaft lets the spoon glide smoothly around the perimeter of a mixing glass.
2026-10-13,Ingredients,GRENADINE,Traditional syrup made from fresh pomegranate juice reduced with sugar.,Many commercial versions mimic this classic ingredient with high-fructose corn syrup and artificial flavoring.
2026-10-14,Cocktails,MAI TAI,"Legendary tiki drink made with aged rum, lime juice, orange curaçao, and orgeat.","Created by Victor 'Trader Vic' Bergeron in Oakland in 1944, meaning 'out of this world' in Tahitian."
2026-10-15,Gin,GIMLET,"Crisp maritime blend of gin and lime cordial, historically popular in the Royal Navy.",Scurvy-conscious British naval officers mixed gin with Rose's lime juice to preserve daily vitamin C rations.
2026-10-16,Liqueurs,MARASCHINO,Clear liqueur distilled from fermented Marasca sour cherries and their crushed pits.,"Carries a distinctive dry, subtle, nutty almond flavor alongside light stone-fruit notes."
2026-10-17,Glassware,HIGHBALL,"Tall, slender tumbler primarily used for long drinks built with effervescent soda.",Its narrow profile preserves carbonation longer by minimizing liquid surface area exposed to air.
2026-10-18,Bitters,PEYCHAUD,Vibrant red gentian bitters with floral and anise aromas hailing from New Orleans.,A non-negotiable ingredient in the official Sazerac cocktail alongside rye whiskey and herbsaint.
2026-10-19,Agave,TEQUILA,Distilled Mexican spirit produced exclusively from the blue Weber agave plant.,"Must be produced in designated municipalities across Jalisco, Guanajuato, Michoacán, Nayarit, or Tamaulipas."
2026-10-20,Methods,ROLLING,Gently tumbling a drink back and forth between two shaker tins without shaking.,Aerates and chills delicate mixes like Bloody Marys without creating unwanted frothy bubbles.
2026-10-21,Origins,SINGAPORE SLING,Gin-based tropical cocktail developed at the Long Bar in Raffles Hotel.,Devised by bartender Ngiam Tong Boon around 1915 so ladies could discreetly sip alcohol disguised as fruit punch.
2026-10-22,History,JERRY THOMAS,Pioneering nineteenth-century American bartender who penned the first cocktail recipe book.,Published 'The Bar-Tender's Guide' in 1862 and wowed audiences with his flaming Blue Blazer routine.
2026-10-23,Technique,FLAMED ORANGE,Expressing citrus peel oils through a match flame over a cocktail glass.,"Slightly caramelizes the released essential oils, adding a gentle smoky aroma to the surface."
2026-10-24,Drink Families,COLLINS,"Tall, refreshing drink style made with spirit, lemon, sugar, and carbonated water.","Named after John Collins, a waiter at Limmer's Hotel in London during the nineteenth century."
2026-10-25,Rum,MOJITO,"Cuban highball featuring white rum, mint, fresh lime, sugar, and soda water.","Evolved from El Draque, a sixteenth-century concoction named after English privateer Sir Francis Drake."
2026-10-26,Bar Tools,JULEP STRAINER,Bowl-shaped perforated metal spoon designed to strain stirred drinks from a mixing glass.,Pre-dates the Hawthorne strainer and was originally held over a mint julep to keep shaved ice off the moustache.
2026-10-27,Brandy,COGNAC,Prestigious French grape brandy aged in oak barrels within the Charente region.,Distilled twice in copper Charentais pot stills between November and March following grape harvest.
2026-10-28,Garnishes,LUXARDO CHERRY,"Candied dark Italian cherry steeped in thick, natural Marasca fruit syrup.",Replaced mass-produced neon-red bleached maraschino cherries in upscale cocktail revivals.
2026-10-29,Amaro,APEROL,"Bright orange bitter-sweet Italian aperitif flavoured with gentian, rhubarb, and cinchona.",Created in Padua in 1919 and celebrated worldwide as the core base for the ubiquitous Spritz.
2026-10-30,Spirits,VODKA,Neutral spirit distilled from grains or potatoes and filtered to minimize flavour.,"The backbone of the Moscow Mule, Cosmopolitan, and Espresso Martini due to its clean canvas."
2026-10-31,Cocktails,SAZERAC,"New Orleans icon of rye, Peychaud's bitters, and sugar in an absinthe-rinsed glass.",Recognized by the Louisiana State Legislature in 2008 as the official cocktail of New Orleans.
2026-11-01,Citrus,OLEO SACCHARUM,Syrup made by coating citrus peels in granulated sugar to draw out essential oils.,A historical punch-making technique dating back to seventeenth-century British and American bartending.
2026-11-02,Glassware,HURRICANE,Curvaceous tall glass modeled after the silhouette of a vintage kerosene storm lamp.,Became an institution at Pat O'Brien's in New Orleans during World War II rum surpluses.
2026-11-03,Whisky,MINT JULEP,"Southern concoction of bourbon, crushed ice, fresh mint, and simple syrup.",Traditionally served in frosted pewter or sterling silver cups at the annual Kentucky Derby.
2026-11-04,Ingredients,SIMPLE SYRUP,Equal-parts solution of white granulated sugar dissolved in water.,"Provides pure, clean sweetness without altering the underlying flavor or clarity of spirits."
2026-11-05,Methods,FAT WASHING,"Infusing melted fat or oil into spirits, freezing it, and skimming off solids.",Transfers rich savory flavors and velvety textures while leaving the liquid crystal clear.
2026-11-06,Gin,AVIATION,Twentieth-century gin classic colored sky-blue by crème de violette liqueur.,First documented in Hugo Ensslin's 1916 recipe book 'Recipes for Mixed Drinks.'
